lat,lon,TYPE
49.29165286,-123.1410811,Break and Enter Residenti
49.27807419,-123.1189092,Break and Enter Residenti
49.27867181,-123.1201332,Break and Enter Residenti
49.27875021,-123.1200155,Break and Enter Residenti
49.28425575,-123.1155341,Other Theft
49.28457223,-123.1148786,Other Theft
49.28457223,-123.1148786,Other Theft
49.28457223,-123.1148786,Other Theft
49.28457223,-123.1148786,Other Theft
49.28457223,-123.1148786,Other Theft
49.28457223,-123.1148786,Other Theft
49.28222589,-123.1128151,Other Theft
49.28222589,-123.1128151,Other Theft
49.28222589,-123.1128151,Other Theft
49.28222589,-123.1128151,Other Theft
49.28222589,-123.1128151,Other Theft
49.28222589,-123.1128151,Other Theft
49.28222589,-123.1128151,Other Theft
49.28222589,-123.1128151,Other Theft
49.2905752,-123.1305973,Theft from Vehicle
49.28501438,-123.1182624,Other Theft
49.28501438,-123.1182624,Other Theft
49.28501438,-123.1182624,Other Theft
49.28508839,-123.1179809,Other Theft
49.28107011,-123.1158806,Other Theft
49.28107011,-123.1158806,Other Theft
49.28557477,-123.117446,Other Theft
49.28557477,-123.117446,Other Theft
49.28439146,-123.1172833,Other Theft
49.28439146,-123.1172833,Other Theft
49.28439146,-123.1172833,Other Theft
49.28481488,-123.1166386,Other Theft
49.28481488,-123.1166386,Other Theft
49.28924704,-123.1253061,Other Theft
49.28290088,-123.1265581,Mischief
49.28266331,-123.1260339,Mischief
49.28254055,-123.1258531,Mischief
49.27683255,-123.134768,Mischief
49.2765087,-123.134284,Mischief
49.2874917,-123.1204356,Theft from Vehicle
49.28532443,-123.1337647,Mischief
49.28532443,-123.1337647,Mischief
49.27933528,-123.1316686,Mischief
49.2879504,-123.1197336,Theft from Vehicle
49.27839572,-123.1304306,Mischief
49.28266078,-123.1140989,Other Theft
49.28266078,-123.1140989,Other Theft
49.28028529,-123.1274579,Mischief
49.28287274,-123.1137775,Other Theft
49.28287274,-123.1137775,Other Theft
49.28028529,-123.1274579,Mischief
49.28028529,-123.1274579,Mischief
49.28028529,-123.1274579,Mischief
49.28310397,-123.1134269,Other Theft
49.28310397,-123.1134269,Other Theft
49.28321959,-123.1132515,Other Theft
49.28316166,-123.1131623,Other Theft
49.28316166,-123.1131623,Other Theft
49.28316166,-123.1131623,Other Theft
49.28325801,-123.1130162,Other Theft
49.28333508,-123.1128993,Other Theft
49.28333508,-123.1128993,Other Theft
49.28333508,-123.1128993,Other Theft
49.28333508,-123.1128993,Other Theft
49.28017309,-123.1274502,Mischief
49.28061781,-123.1187275,Other Theft
49.2840197,-123.1138301,Theft from Vehicle
49.2840197,-123.1138301,Theft from Vehicle
49.2840197,-123.1138301,Theft from Vehicle
49.2840197,-123.1138301,Theft from Vehicle
49.2840197,-123.1138301,Theft from Vehicle
